municipality_code,district_code,state_code,name,area_km2,population,longitude,latitude,settlement_type
01051093,01051,01,Reinsbüttel,6.83,387,8.911057,54.179073,gering besiedelt
01051105,01051,01,Schülp,9.27,382,8.929943,54.241971,gering besiedelt
01051108,01051,01,Strübbel,4.4,74,8.971812,54.260389,gering besiedelt
01051109,01051,01,Süderdeich,6.64,427,8.91131,54.201711,gering besiedelt
01051121,01051,01,Warwerort,4.58,214,8.921723,54.141177,gering besiedelt
01051127,01051,01,"Wesselburen, Stadt",5.13,3368,8.920686,54.212159,gering besiedelt
01051128,01051,01,Wesselburener Deichhausen,5.07,112,8.937237,54.174947,gering besiedelt
01051129,01051,01,Wesselburenerkoog,21.89,159,8.876475,54.239438,gering besiedelt
01051132,01051,01,Westerdeichstrich,7.5,783,8.863517,54.162006,gering besiedelt
01051140,01051,01,Oesterwurth,14.19,228,8.991292,54.211016,gering besiedelt
01053032,01053,01,"Geesthacht, Stadt",33.25,33519,10.371733,53.433112,mittlere Besiedlungsdichte
01053083,01053,01,"Lauenburg/ Elbe, Stadt",9.56,11657,10.554267,53.374189,mittlere Besiedlungsdichte
01053090,01053,01,"Mölln, Stadt",25.05,19627,10.691022,53.629521,mittlere Besiedlungsdichte
01053100,01053,01,"Ratzeburg, Stadt",30.29,15026,10.774492,53.699024,mittlere Besiedlungsdichte
01053116,01053,01,"Schwarzenbek, Stadt",11.65,16999,10.477663,53.502645,mittlere Besiedlungsdichte
01053129,01053,01,Wentorf bei Hamburg,6.87,13414,10.2519,53.491012,mittlere Besiedlungsdichte
01053008,01053,01,Behlendorf,10.25,395,10.667846,53.699475,gering besiedelt
01053009,01053,01,Berkenthin,10.34,2201,10.638221,53.734488,gering besiedelt
01053011,01053,01,Bliestorf,10.35,627,10.602527,53.768797,gering besiedelt
01053024,01053,01,Düchelsdorf,3.01,161,10.580373,53.737072,gering besiedelt
01053034,01053,01,Göldenitz,5.06,243,10.631501,53.722025,gering besiedelt
01053061,01053,01,Kastorf,6.9,1202,10.570134,53.748875,gering besiedelt
01053067,01053,01,Klempau,10.07,616,10.660387,53.762851,gering besiedelt
01053075,01053,01,Krummesse,3.35,1613,10.641961,53.780123,gering besiedelt
01053094,01053,01,Niendorf bei Berkenthin,3.99,184,10.626158,53.702417,gering besiedelt
01053103,01053,01,Rondeshagen,9.51,803,10.629717,53.753642,gering besiedelt
01053120,01053,01,Sierksrade,4,422,10.600344,53.736555,gering besiedelt
01053002,01053,01,Alt-Mölln,6.44,845,10.658165,53.622775,gering besiedelt
01053005,01053,01,Bälau,6.5,224,10.621739,53.616381,gering besiedelt
01053013,01053,01,Borstorf,8.64,306,10.564234,53.613074,gering besiedelt
01053014,01053,01,Breitenfelde,12.54,2136,10.632977,53.605112,gering besiedelt
01053037,01053,01,Grambek,12.66,575,10.68068,53.574025,gering besiedelt
01053056,01053,01,Hornbek,5.89,202,10.648548,53.5589,gering besiedelt
01053084,01053,01,Lehmrade,11.4,630,10.752721,53.5947,gering besiedelt
01053095,01053,01,Niendorf/ Stecknitz,8.41,665,10.609244,53.587228,gering besiedelt
01053113,01053,01,Schretstaken,8.47,505,10.539293,53.586533,gering besiedelt
01053125,01053,01,Talkau,4.88,557,10.568741,53.576852,gering besiedelt
01053134,01053,01,Woltersdorf,7.9,344,10.640176,53.576862,gering besiedelt
01053010,01053,01,Besenthal,12.65,98,10.743239,53.530139,gering besiedelt
01053015,01053,01,Bröthen,10.69,320,10.667034,53.480281,gering besiedelt
01053020,01053,01,Büchen,16.85,6733,10.616482,53.480926,mittlere Besiedlungsdichte
01053029,01053,01,Fitzen,9.11,393,10.64667,53.493942,gering besiedelt
01053035,01053,01,Göttin,5.21,71,10.70343,53.533746,gering besiedelt
01053046,01053,01,Gudow,42.25,1760,10.77219,53.555336,gering besiedelt
01053048,01053,01,Güster,7.78,1279,10.680583,53.53952,gering besiedelt
01053064,01053,01,Klein Pampau,4.17,673,10.586656,53.512681,gering besiedelt
